csoport,osztaly
spanyol 12/1_SzAd (11A12BD),12.B
spanyol 12/1_SzAd (11A12BD),12.D
spanyol NYEF_SzAd,NYE
spanyol NYEF_SzAd,NYF
spanyol 11/1_SzAd (EF),11.E
spanyol 11/1_SzAd (EF),11.F
spanyol 10/1_SzAd (EF),10.E
spanyol 10/1_SzAd (EF),10.F
spanyol 10/2_SzAd (B),10.B
történelem 9C/1mat_SzAn,9.C
történelem 10D/1n_SzAn,10.D
orosz NYEF_SzAn,NYE
orosz NYEF_SzAn,NYF
orosz 10/1_SzAn (9A10CD),9.A
orosz 10/1_SzAn (9A10CD),10.C
orosz 10/1_SzAn (9A10CD),10.D
orosz 11/1_SzAn (10A11BD),10.A
orosz 11/1_SzAn (10A11BD),11.B
orosz 11/1_SzAn (10A11BD),11.D
nyelvtan 10C/2hum_TK,10.C
francia 12/1_SzL (11A12BCD),11.A
francia 12/1_SzL (11A12BCD),12.B
francia 12/1_SzL (11A12BCD),12.D
francia 9/NY_SzL (NyENyF),NYE
francia 9/NY_SzL (NyENyF),NYF
francia 10/3_SzL (9A10C),9.A
francia 10/3_SzL (9A10C),10.C
angol 11/2_SzRE (BD/1),11.B
angol 11/2_SzRE (BD/1),11.D
angol 10/1_SzRE (B/1),10.B
angol OKTV szakkör_SzRE,11.A
angol OKTV szakkör_SzRE,11.B
angol OKTV szakkör_SzRE,11.D
angol OKTV szakkör_SzRE,11.E
angol OKTV szakkör_SzRE,11.F
angol OKTV szakkör_SzRE,12.A
angol OKTV szakkör_SzRE,12.B
angol OKTV szakkör_SzRE,12.D
angol OKTV szakkör_SzRE,12.E
angol OKTV szakkör_SzRE,12.F
irodalom 9D/1n_VBZs,9.D
matematika érettségi felkészítés 12D_NPP,12.D
történelem fakt 12/2_SzP (B),12.B
történelem 10C/2hum_SzP,10.C
matematika 11B/1mt_VB,11.B
angol 11/11_TG (10A11D/3),10.A
angol 11/11_TG (10A11D/3),11.D
földrajz fakt 11_TG (ABD),11.A
földrajz fakt 11_TG (ABD),11.B
földrajz fakt 11_TG (ABD),11.D
irodalom 12F/alap_TK,12.F
